test_id,queue,severity,reason,file_path,recommendation,iteration
test_iter_0_0_version,redundant high-assertion queue,medium,cluster 1f70f20db2 contains 2 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_1_0_version,redundant high-assertion queue,medium,cluster 1f70f20db2 contains 2 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_0_4_stats_1_2,redundant high-assertion queue,medium,cluster 2591630c6a contains 4 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_0_9_stats_1,redundant high-assertion queue,medium,cluster 2591630c6a contains 4 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_1_4_stats_1_2,redundant high-assertion queue,medium,cluster 2591630c6a contains 4 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_1_9_stats_1,redundant high-assertion queue,medium,cluster 2591630c6a contains 4 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_0_5_help,redundant high-assertion queue,medium,cluster 5f22225f66 contains 2 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_1_5_help,redundant high-assertion queue,medium,cluster 5f22225f66 contains 2 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_0_3_mul_1_2,redundant high-assertion queue,medium,cluster 60868d1da3 contains 2 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_1_3_mul_1_2,redundant high-assertion queue,medium,cluster 60868d1da3 contains 2 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_0_10_pbcalc,redundant high-assertion queue,medium,cluster 790a510511 contains 2 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_1_10_pbcalc,redundant high-assertion queue,medium,cluster 790a510511 contains 2 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_0_7_add_1,redundant high-assertion queue,medium,cluster 9854a0a7a2 contains 2 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_1_7_add_1,redundant high-assertion queue,medium,cluster 9854a0a7a2 contains 2 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_0_2_add_1_2,redundant high-assertion queue,medium,cluster d1262f976d contains 2 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_1_2_add_1_2,redundant high-assertion queue,medium,cluster d1262f976d contains 2 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_0_1_add_2_5_1_25,redundant high-assertion queue,medium,cluster ebaa1a058c contains 2 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_1_1_add_2_5_1_25,redundant high-assertion queue,medium,cluster ebaa1a058c contains 2 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_0_6_h,redundant high-assertion queue,medium,cluster eeed416e9d contains 2 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_1_6_h,redundant high-assertion queue,medium,cluster eeed416e9d contains 2 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_0_8_mul_1,redundant high-assertion queue,medium,cluster f198c5136f contains 2 similar tests,,downweight or keep only if behavior variant is justified,
test_iter_1_8_mul_1,redundant high-assertion queue,medium,cluster f198c5136f contains 2 similar tests,,downweight or keep only if behavior variant is justified,
